github_username,Quiz,Submitted
hingamercy50-cmyk,Module 1,FALSE
hingamercy50-cmyk,Module 2,FALSE
laigarve,Module 1,TRUE
laigarve,Module 2,FALSE
bttgcm,Module 1,FALSE
bttgcm,Module 2,FALSE
roh2o,Module 1,FALSE
roh2o,Module 2,FALSE
tangqiqing,Module 1,TRUE
tangqiqing,Module 2,TRUE
prabhatjoshi007,Module 1,TRUE
prabhatjoshi007,Module 2,FALSE
tmoneytmali,Module 1,FALSE
tmoneytmali,Module 2,FALSE
asimenye99,Module 1,TRUE
asimenye99,Module 2,FALSE
imegit,Module 1,FALSE
imegit,Module 2,FALSE
kunzrp,Module 1,TRUE
kunzrp,Module 2,TRUE
adgomezs,Module 1,FALSE
adgomezs,Module 2,FALSE
watnafu,Module 1,TRUE
watnafu,Module 2,FALSE
adheesh20,Module 1,FALSE
adheesh20,Module 2,FALSE
stefanie123456,Module 1,TRUE
stefanie123456,Module 2,FALSE
hawahmugisha,Module 1,FALSE
hawahmugisha,Module 2,FALSE
gervaismomo42,Module 1,FALSE
gervaismomo42,Module 2,FALSE
ebeidomer-byte,Module 1,FALSE
ebeidomer-byte,Module 2,FALSE
davismajara,Module 1,FALSE
davismajara,Module 2,FALSE
promise707-lab,Module 1,FALSE
promise707-lab,Module 2,FALSE
blessingrebecca26,Module 1,FALSE
blessingrebecca26,Module 2,FALSE
big-gen,Module 1,TRUE
big-gen,Module 2,TRUE
mmasomoma,Module 1,FALSE
mmasomoma,Module 2,FALSE
visionary210,Module 1,FALSE
visionary210,Module 2,FALSE
otoosakyidavid,Module 1,FALSE
otoosakyidavid,Module 2,FALSE
baadedotun,Module 1,FALSE
baadedotun,Module 2,FALSE
clairegrand,Module 1,TRUE
clairegrand,Module 2,FALSE
wisjay,Module 1,FALSE
wisjay,Module 2,FALSE
pjosephy,Module 1,FALSE
pjosephy,Module 2,FALSE
astute2011,Module 1,FALSE
astute2011,Module 2,FALSE
harlod-max,Module 1,FALSE
harlod-max,Module 2,FALSE
irshadadi-luc,Module 1,FALSE
irshadadi-luc,Module 2,FALSE
snowty930,Module 1,FALSE
snowty930,Module 2,FALSE
assumpta-hub,Module 1,TRUE
assumpta-hub,Module 2,FALSE
reahmq2018-oss,Module 1,FALSE
reahmq2018-oss,Module 2,FALSE
willis-254,Module 1,FALSE
willis-254,Module 2,FALSE
mercyncube,Module 1,FALSE
mercyncube,Module 2,FALSE
fernando-pm,Module 1,TRUE
fernando-pm,Module 2,FALSE
rewarda58,Module 1,FALSE
rewarda58,Module 2,FALSE
yousefia601,Module 1,TRUE
yousefia601,Module 2,FALSE
chekwube-web,Module 1,TRUE
chekwube-web,Module 2,FALSE
qzahra08,Module 1,TRUE
qzahra08,Module 2,TRUE
gloajugwo,Module 1,FALSE
gloajugwo,Module 2,FALSE
ocheaikpa,Module 1,TRUE
ocheaikpa,Module 2,FALSE
faizaaudri03,Module 1,FALSE
faizaaudri03,Module 2,FALSE
analystkemi,Module 1,FALSE
analystkemi,Module 2,FALSE
betadetective,Module 1,TRUE
betadetective,Module 2,FALSE
redd-om,Module 1,FALSE
redd-om,Module 2,FALSE
mmumba266,Module 1,FALSE
mmumba266,Module 2,FALSE
galacticasparagus,Module 1,FALSE
galacticasparagus,Module 2,FALSE
